date,action,cash_in,shares_bought,price,shares,cash,total_value
1995-01-31,buy,1000.0,166.1885427287956,6.017261981964111,166.1885427287956,0.0,1000.0
1995-02-28,buy,1000.0,158.6344357766208,6.303801536560059,324.82297850541636,0.0,2047.6195910124586
1995-03-31,buy,1000.0,154.15182288041171,6.4871110916137695,478.9748013858281,0.0,3107.1627466735076
1995-04-30,buy,1000.0,149.51073893374559,6.688482761383057,628.4855403195736,0.0,4203.614702205984
1995-05-31,buy,1000.0,141.01928912601545,7.091228485107422,769.504829445589,0.0,5456.734565992289
1995-06-30,buy,1000.0,135.82087502975926,7.362638473510742,905.3257044753483,0.0,6665.585862828416
1995-07-31,buy,1000.0,131.94029080753623,7.579185962677002,1037.2659952828844,0.0,7861.631871010227
1995-08-31,buy,1000.0,134.76389913039566,7.420384883880615,1172.02989441328,0.0,8696.912911960497
1995-09-30,buy,1000.0,125.05940934971078,7.996199607849121,1297.0893037629908,0.0,10371.784982094916
1995-10-31,buy,1000.0,120.05709196886001,8.329370498657227,1417.1463957318508,0.0,11803.937380887297
1995-11-30,buy,1000.0,113.58311141007789,8.804125785827637,1530.7295071419287,0.0,13476.735124955485
1995-12-31,buy,1000.0,115.87769639238151,8.629788398742676,1646.6072035343102,0.0,14209.87174234651
1996-01-31,buy,1000.0,114.14817721784937,8.760542869567871,1760.7553807521595,0.0,15425.172995901592
1996-02-29,buy,1000.0,106.55005167582395,9.385260581970215,1867.3054324279833,0.0,17525.1480694652
1996-03-31,buy,1000.0,103.6548615450345,9.647400856018066,1970.9602939730178,0.0,19014.64402725291
1996-04-30,buy,1000.0,105.2447110963546,9.501665115356445,2076.2050050693724,0.0,19727.404668996107
1996-05-31,buy,1000.0,93.23310115809615,10.725804328918457,2169.438106227469,0.0,23268.968631095246
1996-06-30,buy,1000.0,87.29218618818865,11.455779075622559,2256.7302924156575,0.0,25852.603663178867
1996-07-31,buy,1000.0,91.24940313640236,10.958975791931152,2347.9796955520596,0.0,25731.4526435009
