date,action,cash_in,shares_bought,price,shares,cash,all_time_high,total_value
1995-01-31,hold,1000.0,0.0,6.017261981964111,0.0,1000.0,6.017261981964111,1000.0
1995-02-28,hold,1000.0,0.0,6.303801536560059,0.0,2000.0,6.303801536560059,2000.0
1995-03-31,hold,1000.0,0.0,6.4871110916137695,0.0,3000.0,6.4871110916137695,3000.0
1995-04-30,hold,1000.0,0.0,6.688482761383057,0.0,4000.0,6.688482761383057,4000.0
1995-05-31,hold,1000.0,0.0,7.091228485107422,0.0,5000.0,7.091228485107422,5000.0
1995-06-30,hold,1000.0,0.0,7.362638473510742,0.0,6000.0,7.362638473510742,6000.0
1995-07-31,hold,1000.0,0.0,7.579185962677002,0.0,7000.0,7.579185962677002,7000.0
1995-08-31,hold,1000.0,0.0,7.420384883880615,0.0,8000.0,7.579185962677002,8000.0
1995-09-30,hold,1000.0,0.0,7.996199607849121,0.0,9000.0,7.996199607849121,9000.0
1995-10-31,hold,1000.0,0.0,8.329370498657227,0.0,10000.0,8.329370498657227,10000.0
1995-11-30,hold,1000.0,0.0,8.804125785827637,0.0,11000.0,8.804125785827637,11000.0
1995-12-31,hold,1000.0,0.0,8.629788398742676,0.0,12000.0,8.804125785827637,12000.0
1996-01-31,hold,1000.0,0.0,8.760542869567871,0.0,13000.0,8.804125785827637,13000.0
1996-02-29,hold,1000.0,0.0,9.385260581970215,0.0,14000.0,9.385260581970215,14000.0
1996-03-31,hold,1000.0,0.0,9.647400856018066,0.0,15000.0,9.647400856018066,15000.0
1996-04-30,hold,1000.0,0.0,9.501665115356445,0.0,16000.0,9.647400856018066,16000.0
1996-05-31,hold,1000.0,0.0,10.725804328918457,0.0,17000.0,10.725804328918457,17000.0
1996-06-30,hold,1000.0,0.0,11.455779075622559,0.0,18000.0,11.455779075622559,18000.0
1996-07-31,hold,1000.0,0.0,10.958975791931152,0.0,19000.0,11.455779075622559,19000.0
1996-08-31,hold,1000.0,0.0,11.689569473266602,0.0,20000.0,11.689569473266602,20000.0
1996-09-30,hold,1000.0,0.0,11.922593116760254,0.0,21000.0,11.922593116760254,21000.0
1996-10-31,hold,1000.0,0.0,11.834711074829102,0.0,22000.0,11.922593116760254,22000.0
1996-11-30,hold,1000.0,0.0,12.010408401489258,0.0,23000.0,12.010408401489258,23000.0
1996-12-31,hold,1000.0,0.0,12.362788200378418,0.0,24000.0,12.362788200378418,24000.0
1997-01-31,hold,1000.0,0.0,13.596126556396484,0.0,25000.0,13.596126556396484,25000.0
1997-02-28,hold,1000.0,0.0,14.330265998840332,0.0,26000.0,14.330265998840332,26000.0
1997-03-31,hold,1000.0,0.0,13.126567840576172,0.0,27000.0,14.330265998840332,27000.0
1997-04-30,hold,1000.0,0.0,14.98076057434082,0.0,28000.0,14.98076057434082,28000.0
1997-05-31,hold,1000.0,0.0,16.128597259521484,0.0,29000.0,16.128597259521484,29000.0
1997-06-30,hold,1000.0,0.0,16.04372215270996,0.0,30000.0,16.128597259521484,30000.0
1997-07-31,hold,1000.0,0.0,16.30914306640625,0.0,31000.0,16.30914306640625,31000.0
1997-08-31,hold,1000.0,0.0,13.522141456604004,0.0,32000.0,16.30914306640625,32000.0
1997-09-30,hold,1000.0,0.0,14.427224159240723,0.0,33000.0,16.30914306640625,33000.0
1997-10-31,hold,1000.0,0.0,13.392474174499512,0.0,34000.0,16.30914306640625,34000.0
1997-11-30,hold,1000.0,0.0,14.814321517944336,0.0,35000.0,16.30914306640625,35000.0
1997-12-31,hold,1000.0,0.0,15.806889533996582,0.0,36000.0,16.30914306640625,36000.0
1998-01-31,hold,1000.0,0.0,15.34764289855957,0.0,37000.0,16.30914306640625,37000.0
1998-02-28,hold,1000.0,0.0,16.266128540039062,0.0,38000.0,16.30914306640625,38000.0
1998-03-31,hold,1000.0,0.0,18.3929386138916,0.0,39000.0,18.3929386138916,39000.0
1998-04-30,hold,1000.0,0.0,18.021818161010742,0.0,40000.0,18.3929386138916,40000.0
1998-05-31,hold,1000.0,0.0,18.61561393737793,0.0,41000.0,18.61561393737793,41000.0
1998-06-30,hold,1000.0,0.0,20.34550666809082,0.0,42000.0,20.34550666809082,42000.0
1998-07-31,hold,1000.0,0.0,19.155712127685547,0.0,43000.0,20.34550666809082,43000.0
1998-08-31,buy_on_dip,1000.0,2839.2431842856136,15.497087478637695,2839.2431842856136,0.0,20.34550666809082,44000.0
1998-09-30,buy_on_dip,1000.0,72.74701614894457,13.746268272399902,2911.990200434558,0.0,20.34550666809082,40028.998501773
1998-10-31,buy_on_dip,1000.0,62.046974528323325,16.1168212890625,2974.0371749628816,0.0,20.34550666809082,47932.02565590507
1998-11-30,hold,1000.0,0.0,16.74746322631836,2974.0371749628816,1000.0,20.34550666809082,50807.5782213946
1998-12-31,buy_on_dip,1000.0,124.87965498794048,16.015419006347656,3098.916829950822,0.0,20.34550666809082,49630.451497485024
1999-01-31,buy_on_dip,1000.0,64.05314174534573,15.61203670501709,3162.9699716961677,0.0,20.34550666809082,49380.40329498744
1999-02-28,buy_on_dip,1000.0,65.4946360439235,15.268425941467285,3228.464607740091,0.0,20.34550666809082,49293.57276792781
1999-03-31,buy_on_dip,1000.0,67.98899624197556,14.70826244354248,3296.453603982067,0.0,20.34550666809082,48485.10474032969
1999-04-30,hold,1000.0,0.0,16.310897827148438,3296.453603982067,1000.0,20.34550666809082,54768.11792648673
1999-05-31,hold,1000.0,0.0,16.415739059448242,3296.453603982067,2000.0,20.34550666809082,56113.72218454734
1999-06-30,buy_on_dip,1000.0,201.42232077786218,14.894079208374023,3497.875924759929,0.0,20.34550666809082,52097.64108443892
